X1;X2;X3;X4
1867;1685;1493;1678
2046;1907;1627;1898
1889;1651;1561;1778
1745;1600;1384;1508
1633;1513;1290;1516
1859;1649;1389;1714
1828;1634;1602;1755
1976;1916;1614;1883
1725;1594;1313;1646
2104;1820;1717;1874
1710;1591;1518;1667
1712;1712;1439;1546
2168;1896;1701;1834
2061;1867;1646;2037
1490;1382;1214;1284
1840;1841;1595;1741
1655;1675;1414;1597
1727;1412;1238;1469
1325;1170;1002;1176
1419;1371;1252;1308
1856;1493;1356;1533
1943;1685;1271;1671
1899;1614;1422;1477
1645;1627;1110;1533
2403;2048;2087;2197
2326;2301;2065;2234
2119;1700;1815;2222
2276;2189;1547;2111
2983;2794;2412;2581
1954;2149;1180;1281
